"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.092592333E0,2.004235840E1,-3.351591492E1,-1.749058533E1,4.278940591E1
3.102580833E0,1.996911240E1,-3.331659698E1,-1.771594238E1,4.269210347E1
3.112568833E0,1.985414886E1,-3.313993454E1,-1.799941254E1,4.261949484E1
3.122557833E0,1.985237503E1,-3.315163803E1,-1.808877563E1,4.266557983E1
3.132545833E0,1.977118492E1,-3.326226425E1,-1.843194580E1,4.286040833E1
3.142533833E0,1.967174721E1,-3.294882965E1,-1.864788818E1,4.266552176E1
3.152521833E0,1.955831146E1,-3.299810028E1,-1.877455902E1,4.270698111E1
3.162509833E0,1.945385170E1,-3.282636642E1,-1.893327332E1,4.259684867E1
3.172497833E0,1.952055168E1,-3.283766937E1,-1.929033661E1,4.279581234E1
3.182485833E0,1.929175377E1,-3.258859634E1,-1.946423340E1,4.257986328E1
3.192473833E0,1.933730507E1,-3.268263245E1,-1.943563843E1,4.265946404E1
3.202461833E0,1.928878975E1,-3.255316162E1,-1.956710815E1,4.259856175E1
3.212449833E0,1.918567848E1,-3.266040802E1,-1.978516388E1,4.273459045E1
